section,x,y,hour,frequency
35,2,4,00,35
43,2,5,00,111
19,2,2,00,10
50,1,6,00,51
42,1,5,00,335
27,2,3,00,12
51,2,6,00,46
44,3,5,00,45
36,3,4,00,105
41,0,5,00,46
37,4,4,00,15
34,1,4,00,45
14,5,1,00,4
49,0,6,00,34
20,3,2,00,33
31,6,3,00,2
23,6,2,00,13
4,3,0,00,8
28,3,3,00,12
12,3,1,00,4
38,5,4,00,1
16,7,1,00,4
33,0,4,00,26
26,1,3,00,1
53,4,6,00,1
25,0,3,00,9
39,6,4,00,1
22,5,2,00,5
3,2,0,00,2
45,4,5,00,7
5,4,0,00,2
17,0,2,00,1
15,6,1,00,2
48,7,5,00,1
42,1,5,01,389
35,2,4,01,54
36,3,4,01,139
51,2,6,01,79
43,2,5,01,117
4,3,0,01,13
41,0,5,01,76
50,1,6,01,57
37,4,4,01,17
33,0,4,01,34
49,0,6,01,53
27,2,3,01,27
45,4,5,01,7
23,6,2,01,12
25,0,3,01,21
44,3,5,01,37
38,5,4,01,6
34,1,4,01,62
20,3,2,01,30
54,5,6,01,1
12,3,1,01,6
26,1,3,01,6
28,3,3,01,14
19,2,2,01,12
16,7,1,01,2
11,2,1,01,2
3,2,0,01,3
17,0,2,01,1
15,6,1,01,3
14,5,1,01,1
40,7,4,01,1
46,5,5,01,1
57,0,7,01,1
43,2,5,02,134
14,5,1,02,2
34,1,4,02,66
42,1,5,02,405
35,2,4,02,95
12,3,1,02,1
28,3,3,02,29
41,0,5,02,67
44,3,5,02,35
50,1,6,02,51
27,2,3,02,36
37,4,4,02,40
33,0,4,02,25
19,2,2,02,9
23,6,2,02,19
36,3,4,02,112
51,2,6,02,83
49,0,6,02,59
20,3,2,02,57
52,3,6,02,14
31,6,3,02,5
17,0,2,02,10
40,7,4,02,7
25,0,3,02,17
22,5,2,02,3
11,2,1,02,7
53,4,6,02,2
45,4,5,02,6
32,7,3,02,4
26,1,3,02,3
38,5,4,02,4
5,4,0,02,1
15,6,1,02,2
21,4,2,02,1
57,0,7,02,1
42,1,5,03,363
35,2,4,03,103
33,0,4,03,41
43,2,5,03,186
34,1,4,03,101
36,3,4,03,115
51,2,6,03,90
28,3,3,03,28
27,2,3,03,39
50,1,6,03,37
41,0,5,03,80
44,3,5,03,59
37,4,4,03,56
19,2,2,03,19
49,0,6,03,53
25,0,3,03,33
31,6,3,03,7
26,1,3,03,9
20,3,2,03,70
52,3,6,03,3
14,5,1,03,2
21,4,2,03,2
23,6,2,03,9
57,0,7,03,3
12,3,1,03,2
3,2,0,03,2
11,2,1,03,12
17,0,2,03,5
22,5,2,03,4
45,4,5,03,9
40,7,4,03,6
38,5,4,03,2
4,3,0,03,2
15,6,1,03,1
5,4,0,03,1
36,3,4,04,142
42,1,5,04,220
35,2,4,04,108
20,3,2,04,69
